question;answer
"""Quelles sont les obligations des assujettis à la TVA relatives à la facturation ?""";"""Les assujettis à la TVA doivent émettre des factures pour chaque vente ou prestation, comportant les mentions obligatoires (numéro, date, identité des parties, description, montant HT, taux et montant de la TVA). Ils doivent conserver ces factures pendant la durée légale et les présenter en cas de contrôle fiscal. Toute facture non conforme peut entraîner des sanctions."""
"""Quelle sont les procédures à suivre par une entreprise totalement exportatrice, pour obtenir l’exonération de la taxe unique des assurances au titre de ses contrats d’assurance ?""";"""L’entreprise totalement exportatrice doit adresser une demande en l’objet directement au Bureau de Contrôle des Impôts de la circonscription dont elle relève."""
""" Quelles sont les assurances obligatoires ?""";"""Les risques à couvrir obligatoirement sont : la responsabilité civile du fait de l’usage d'un véhicule terrestre à moteur et ses remorques, l’incendie pour les personnes exploitant une industrie, un commerce ou un établissement hôtelier, le transport maritime, aérien et terrestre des marchandises à l’importation, la responsabilité civile décennale des intervenants dans le domaine de la construction."""
"""Est-il possible de s’assurer à l’étranger ?""";"""Non. En vertu de l’article 44 du code des assurances, l’assurance des résidents et des risques situés en Tunisie ne peut être souscrite qu’auprès d’une entreprise d’assurances tunisienne, à l’exception de l’assurance de la responsabilité civile de l’armateur et du transporteur maritime."""
"""Est-il possible, pour un résident en Tunisie, de souscrire un contrat d’assurances en devises ?""";"""Oui. En vertu de l’article 21 du code des changes et du commerce extérieur, une dérogation exceptionnelle pourrait être accordée, le cas échéant, par le Gouverneur de la Banque Centrale après avis du Ministre des Finances, pour souscrire un contrat d’assurance en devises par un assuré résident auprès d’une entreprise d’assurances résidente. La dérogation prend en considération la nécessité et l’opportunité de l’opération."""
"""Quelles sont les procédures à prendre en cas de refus d’assurance de la responsabilité d’un conducteur de véhicule terrestre à moteur ?""";"""Toute personne assujettie à cette obligation d'assurance, ayant sollicité la conclusion d’un nouveau contrat d’assurance, la prorogation d’un contrat en vigueur, sa modification ou la reprise d'effet d'un contrat d'assurance suspendu, et se voyant opposer un refus, peut saisir, par lettre recommandée avec accusé de réception ou par tout autre moyen laissant une trace écrite, le Bureau Central de Tarification situé à 09 bis Rue New Delhi, Montplaisir, Tunis 1002."""
"""Quelle est la notion de ""non résidence"" sur le plan «change» ?""";"""Les entreprises totalement exportatrices sont considérées non résidentes lorsque leur capital est détenu par des non-résidents tunisiens ou étrangers au moyen d'une importation de devises convertibles au moins égale à 66% du capital."""
"""Combien une entreprise exportatrice peut-elle recruter de personnel étranger ?""";"""Les entreprises totalement exportatrices peuvent recruter des agents de direction et d'encadrement de nationalité étrangère dans la limite de quatre personnes pour chaque entreprise."""
""" Quels sont les avantages liés au développement régional ?""";"""L'API vous invite à consulter la rubrique : Développement régional."""
"""Quels sont les avantages accordés aux tunisiens résidents à l’Étranger ?""";"""Les tunisiens résidents à l’étranger ont la possibilité, dans le cadre d’un retour définitif ou provisoire, d’importer les équipements nécessaires à la création d’un projet (activité industrielle ou de services prévue par le code d’incitations aux investissements) et de bénéficier des avantages de la franchise douanière tel que prévu par l’article 28 de la loi des finances pour la gestion 2013 et le décret N°2013-4632 du 18 Novembre 2013."""
"""Quels sont les avantages accordés aux industries de première transformation de produits agricoles ?""";"""Avantages Fiscaux: La souscription au capital initial ou à son augmentation donne droit à la déduction des bénéfices ou revenus investis des revenus ou bénéfices nets soumis à l’impôt sur le revenu ou sur les sociétés. Déduction des bénéfices investis au sein même de la société sous réserve du minimum d’impôt. Réduction des droits de douane au taux de 12%, suspension de la TVA et droit de consommation dus à l’importation des équipements n’ayant pas de similaires fabriqués localement et suspension de la TVA sur les équipements fabriqués localement. Déduction des revenus et bénéfices provenant de ces investissements de l’assiette de l’impôt sur le revenu des personnes physiques et de l’impôt sur les sociétés durant les 10 premières années à partir de la date d’entrée en activité effective. Avantages Financiers: Prime d’investissement représentant 7% du coût de l’investissement. Cette prime est plafonnée à 300.000 DT pour les investissements de première transformation. Prime d’étude représentant 1% du coût total de l’investissement plafonnée à 5.000 DT.(Art 32 du code d’Incitations aux Investissements)"""
"""Quel est le nouveau taux d’imposition sur les bénéfices ?""";"""La loi 2006-80 du 18/12/2006 relative à la réforme fiscale a instauré la réduction du taux de 35% à 30% de l'impôt sur les bénéfices des sociétés. La réduction est applicable pour les résultats de l’année 2006. Demeurent soumis au taux de 35%: Les établissements de crédit régi par la loi 2001-65, les banques off-shore, société d’investissement, les compagnies d’assurance, les sociétés de recouvrement de créances, les opérateurs de réseaux des télécommunications, les sociétés de services dans les secteurs des hydrocarbures, les entreprises exerçant dans le secteur du transport des hydrocarbures, les entreprises exerçant dans le secteur de raffinage de pétrole. Par ailleurs, cette loi a instauré, également, un régime définitif pour l'exportation : suppression de l'exonération totale à compter du 1/1/2008, déductibilité des deux tiers des revenus provenant de l'exportation de l'assiette soumise à l’I.R pour les personnes physiques, soumission des bénéfices provenant des exportations à l'I.S au taux de 10% pour les personnes morales à compter du 1/1/2008. NB : Maintien de la déduction totale des revenus provenant des exportations pour la durée restante pour les sociétés totalement exportatrices en activité avant le 1er janvier 2008 (durée prévue 10 ans)"""
"""Quels sont les nouveaux taux de la T.V.A ?""";"""Suppression du taux de 29% et son remplacement par un taux 18%, augmentation du taux de 10% à 12%, maintien du taux de 6%"""
"""Quoi de neuf concernant l’Encouragement à la création d’entreprises dans le cadre de l’article 19 et 20 de la loi de finances N° 2002-101 du 17-12-2002 ?""";"""Reconduction, dans les mêmes conditions, des mêmes avantages à savoir : Une prime d’investissement de 6% du coût de l’investissement, une prise en charge par l’état de la cotisation patronale au régime légal de la sécurité sociale, exonération de la contribution au FOPROLOS durant les 3 premières années d’activité, exonération de la T.F.P, octroi d’autres avantages prévus par le code d’incitations aux investissements, prorogation des délais d’application jusqu’au 31 décembre 2009."""
"""Quelle est la procédure de dépôt des demandes d’octroi d'avantages financiers au titre du développement régional ou agricole ?""";"""Les demandes pour le bénéfice des avantages financiers peuvent être déposées soit directement au siège de l'API soit à la Direction Régionale concernée par le projet. Le dépôt des dossiers d'avantages doit être fait au plus tard une année après la date d'entrée en production, le cachet du Bureau d'Ordre de l'API fait foi. Les dossiers doivent comporter : voir Checklist des pièces à fournir pour les demandes d’avantages financiers au titre du développement régional ou agricole."""
"""Quelle est la procédure de dépôt des demandes de déblocage des primes au titre du développement régional et agricole ?""";"""Voir checklist des pièces à fournir pour les demandes de déblocage des primes au titre du développement régional ou agricole."""
"""Quels sont les avantages fiscaux dont peut bénéficier un jeune diplômé lors de la création d’une entreprise ?""";"""La création d’un projet peut faire l’objet d’une attestation de dépôt de déclaration auprès des services de l’API. Cette attestation vous procure les avantages fiscaux (ART 7 et 9) du code d’incitation aux investissements. Les investissements nouveaux bénéficient : d’une prime d’investissement de 6% du coût de l’investissement, d’une prise en charge par l’Etat de la cotisation patronale au régime légal de la sécurité sociale si le projet est implanté dans une zone de développement régional, de l’exonération de la contribution au FOPROLOS, de l’exonération de la T.F.P. NB : Pour bénéficier des avantages de cette loi, l’investissement ne doit pas dépasser 100.000 DT."""
"""Les avantages financiers accordés à l’entreprise totalement exportatrice.""";"""L'API vous invite à consulter la rubrique : Avantages spécifiques - Régime totalement exportateur."""
"""Les critères pour bénéficier des 50% d’écoulement de la production sur le marché local pour les entreprises totalement exportatrices, prévu par l’article 16 du code d’incitations aux investissements ?""";"""En vertu des dispositions du Code d’incitation aux investissements, les entreprises industrielles, totalement exportatrices, peuvent être autorisées à effectuer des ventes, en Tunisie, portant sur une partie de leur propre production, dans la limite de 50% du chiffre d’affaires, à l’exportation départ usine et hors taxes, réalisé durant l’année calendaire précédente. Les ventes, sur le marché local, sont soumises à l’accomplissement préalable, des formalités de commerce extérieur et de change requises et, au paiement des droits de douane, selon les taux de démantèlement, prévus aux articles 10 et 11 de l’accord établissant une Association entre la République Tunisienne, d’une part, et la Communauté Européenne et ses Etats membres, d’autre part, et au paiement des autres taxes applicables à l’importation. NB: Le taux de 50% pour les entreprises nouvellement constituées est déterminé en fonction du chiffre d’affaires à l’export réalisé depuis l’entrée en production."""
"""Quelles sont les activités qui peuvent bénéficier des primes octroyées au titre du développement régional ?""";"""La liste des activités industrielles et de services arrêtée par le décret 94-492 ne sont pas toutes éligibles aux avantages financiers du développement régional. Pour le secteur industriel, les activités suivantes sont exclues des avantages financiers du développement régional : Le secteur des industries agricoles et alimentaires sont exclues : Boulangerie, Pâtisserie industrielle, Fabrication de condiments divers, Préparation de chicorée, préparation et torréfaction de café. Le secteur des industries des matériaux de construction, de la céramique et du verre sont exclues : Exploitation de carrières de pierres. Le secteur des industries diverses sont exclues : Développement et production de films. Pour les services l’API vous invite à consulter la rubrique : Activités éligibles aux avantages financiers de développement régional."""
"""Vous êtes Tunisien Résident à l’Étranger (TRE) et vous voulez créer un projet en Tunisie. Vous aimeriez connaître les procédures, les avantages qui vous sont accordés et les organismes à contacter etc. ?""";"""En plus des avantages accordés aux investisseurs en Tunisie, les tunisiens résidents à l’étranger ont des avantages supplémentaires. Ils bénéficient, dans le cadre d’un retour définitif ou provisoire, de la franchise douanière prévue par l’article 28 de la loi des finances pour la gestion 2013 et le décret N°2013-4632 du 18 Novembre 2013."""
"""Qu'est-ce que l'IRPP ?""";"""L'IRPP est l'Impôt sur le Revenu des Personnes Physiques appliqué aux revenus perçus par les personnes résidentes ou non en Tunisie."""
"""Qui doit payer l'IRPP ?""";"""Toute personne physique ayant des revenus imposables en Tunisie, qu’elle soit résidente ou non-résidente."""
"""Quel est le barème de l'IRPP ?""";"""Le barème varie selon les tranches de revenu annuel, allant de 0% à 35%."""
"""Quand déclarer l'IRPP ?""";"""Avant le 25 mars de chaque année pour les revenus de l'année précédente."""
"""Comment déclarer l'IRPP ?""";"""En ligne sur le portail fiscal ou en déposant une déclaration papier au bureau de contrôle des impôts."""
"""Quels revenus sont imposables ?""";"""Les salaires, revenus professionnels, revenus fonciers, et autres revenus imposables prévus par la loi."""
"""Les pensions de retraite sont-elles imposables ?""";"""Oui, sauf exemptions prévues par la loi."""
"""Peut-on déduire les charges familiales ?""";"""Oui, dans la limite des montants fixés par la loi."""
"""Que se passe-t-il en cas de retard de déclaration ?""";"""Des pénalités et majorations de retard sont appliquées."""
"""Peut-on corriger une déclaration IRPP ?""";"""Oui, en déposant une déclaration rectificative."""
"""Qu'est-ce que la TVA ?""";"""La TVA est une taxe sur la consommation appliquée à la vente de biens et services en Tunisie."""
"""Quels sont les taux de TVA en Tunisie ?""";"""Les taux sont généralement de 19%, 13% ou 7% selon la nature du produit ou service."""
"""Qui est redevable de la TVA ?""";"""Les entreprises et professionnels assujettis à la TVA."""
"""Comment déclarer la TVA ?""";"""En ligne sur le portail fiscal ou auprès du bureau de contrôle fiscal."""
"""Quelle est la fréquence de déclaration de la TVA ?""";"""Mensuelle ou trimestrielle selon le régime fiscal."""
"""Les exportations sont-elles soumises à la TVA ?""";"""Non, elles sont exonérées."""
"""Les services médicaux sont-ils soumis à la TVA ?""";""" Non, ils sont exonérés."""
"""Comment demander un crédit de TVA ?""";"""En déposant une demande au bureau de contrôle avec justificatifs."""
"""Que se passe-t-il en cas de non-déclaration de la TVA ?""";"""Des pénalités et intérêts de retard sont appliqués."""
"""Peut-on récupérer la TVA sur les achats professionnels ?""";"""Oui, si les achats sont liés à l'activité assujettie."""
"""Qu'est-ce que l'impôt sur les sociétés ?""";"""C'est un impôt sur les bénéfices réalisés par les sociétés en Tunisie."""
"""Quel est le taux normal de l'IS ?""";"""Le taux normal est de 15%, avec des taux spécifiques pour certains secteurs."""
"""Quand payer l'IS ?""";"""L'IS est payé en quatre acomptes provisionnels au cours de l'année."""
"""Les associations paient-elles l'IS ?""";"""Non, sauf si elles exercent des activités commerciales imposables."""
"""Les dividendes sont-ils soumis à l'IS ?""";"""Non, mais ils sont soumis à la retenue à la source pour les bénéficiaires"""
"""Comment déclarer l'IS ?""";"""Via le portail fiscal ou directement au bureau de contrôle."""
"""Les pertes peuvent-elles être déduites ?""";"""Oui, selon les règles prévues par la loi."""
"""Y a-t-il un taux réduit pour les nouvelles entreprises ?""";"""Oui, dans certains cas, notamment pour les startups."""
"""Les entreprises offshore paient-elles l'IS ?""";"""Oui, mais avec des régimes spécifiques."""
"""Quelles sont les sanctions en cas de non-paiement de l’IS ?""";"""Majoration de retard et pénalités financières."""
"""Qu’est-ce que la CNSS ?""";"""La Caisse Nationale de Sécurité Sociale gère les cotisations et prestations sociales en Tunisie."""
"""Qui doit s’inscrire à la CNSS ?""";"""Tout employeur et travailleur salarié ou non-salarié exerçant une activité en Tunisie."""
"""Quel est le taux de cotisation CNSS pour un salarié ?""";"""Environ 25%, partagé entre l’employeur et le salarié."""
"""Quand payer les cotisations CNSS ?""";"""Avant le 15 du mois suivant la période de travail."""
"""Comment déclarer les salaires à la CNSS ?""";"""Via le portail de la CNSS ou directement au guichet."""
"""Les travailleurs indépendants doivent-ils cotiser ?""";"""Oui, au régime des non-salariés de la CNSS."""
"""Que se passe-t-il si je ne paie pas la CNSS ?""";"""Des pénalités et majorations sont appliquées."""
"""Les stagiaires doivent-ils être déclarés à la CNSS ?""";"""Non, sauf s’ils sont rémunérés et liés par un contrat."""
"""Peut-on payer la CNSS en ligne ?""";"""Oui, via le portail de la CNSS ou les banques partenaires."""
"""La CNSS couvre-t-elle les accidents du travail ?""";"""Oui, dans le cadre des régimes de sécurité sociale."""
"""Qu’est-ce qu’une exonération fiscale ?""";"""C’est une dispense partielle ou totale du paiement d’un impôt."""
"""Qui peut bénéficier d’une exonération d’IRPP ?""";"""Certaines catégories comme les personnes handicapées ou les nouveaux investisseurs selon la loi."""
"""Quels revenus sont exonérés d’IRPP ?""";"""Les revenus agricoles dans certaines conditions, pensions militaires, etc"""
"""Quelles dépenses sont déductibles de l’IRPP ?""";"""Les charges familiales et certaines dépenses médicales."""
"""Les dons sont-ils déductibles ?""";"""Oui, s’ils sont versés à des organismes agréés"""
"""Existe-t-il des exonérations pour les jeunes entreprises ?""";"""Oui, selon le code d’incitations à l’investissement."""
"""Les exportateurs bénéficient-ils d’une exonération de TVA ?""";"""Oui, les exportations sont exonérées."""
"""Les biens importés peuvent-ils être exonérés de droits et taxes ?""";"""Oui, dans certains cas prévus par la loi."""
"""Les retraités à l’étranger paient-ils des impôts en Tunisie ?""";"""Pas si leurs revenus sont imposés dans le pays d’origine selon les conventions."""
"""Peut-on bénéficier de plusieurs exonérations ?""";"""Oui, si elles ne se cumulent pas illégalement."""
"""Quelles sont les pénalités pour retard de paiement d’impôt ?""";"""Une majoration calculée en pourcentage du montant dû plus des intérêts."""
"""Y a-t-il une pénalité pour déclaration tardive ?""";"""Oui, un montant fixe ou un pourcentage du montant dû."""
"""Comment éviter les pénalités ?""";"""En respectant les délais de déclaration et de paiement."""
"""Peut-on demander la remise d’une pénalité ?""";"""Oui, via une demande motivée au bureau de contrôle."""
"""Les pénalités sont-elles déductibles d’impôts ?""";"""Non, elles ne sont pas déductibles"""
"""Existe-t-il un délai de prescription pour les pénalités ?""";"""Oui, généralement 4 ans sauf fraude"""
"""Les pénalités s’appliquent-elles aux acomptes provisionnels ?""";"""Oui, en cas de retard ou non-paiement."""
"""Une erreur involontaire entraîne-t-elle une pénalité ?""";"""Oui, sauf si elle est corrigée rapidement."""
"""Les intérêts de retard sont-ils calculés par jour ?""";"""Oui, selon un taux légal annuel proratisé."""
"""Les pénalités peuvent-elles être contestées ?""";"""Oui, par voie de réclamation ou recours administratif."""
"""Comment payer mes impôts en Tunisie ?""";"""En ligne via le portail fiscal, à la banque ou au bureau de poste."""
"""Peut-on payer les impôts par carte bancaire ?""";"""Oui, sur le portail fiscal sécurisé."""
"""Peut-on payer en plusieurs fois ?""";"""Dans certains cas avec autorisation préalable"""
"""Quels documents sont nécessaires pour payer ?""";"""Numéro fiscal et référence de déclaration."""
"""Les paiements en espèces sont-ils acceptés ?""";"""Oui, au bureau de poste ou au bureau des impôts."""
"""Puis-je payer l’impôt d’une autre personne ?""";"""Oui, avec ses références fiscales."""
"""Le paiement en ligne est-il sécurisé ?""";"""Oui, via des protocoles sécurisés."""
"""Peut-on payer à l’étranger ?""";"""Oui, via transfert bancaire international."""
"""Comment obtenir un reçu de paiement ?""";""" Automatiquement après paiement en ligne ou au guichet."""
"""Que faire si le paiement n’est pas pris en compte ?""";"""Contacter le bureau de contrôle avec la preuve de paiement."""
"""Comment contester un avis d’imposition ?""";"""Déposer une réclamation écrite au bureau de contrôle dans les 60 jours suivant la notification"""
"""Quels documents joindre à une réclamation fiscale ?""";"""L’avis contesté, justificatifs et pièce d’identité."""
"""Peut-on contester une pénalité fiscale ?""";"""Oui, par la même procédure que pour un impôt."""
"""Quel est le délai de réponse de l’administration fiscale ?""";"""En général, 6 mois à compter de la réception de la réclamation"""
"""Que faire si ma réclamation est rejetée ?""";"""Saisir la commission de conciliation ou le tribunal compétent."""
"""Peut-on suspendre le paiement en attendant la décision ?""";"""Oui, dans certains cas avec garantie bancaire."""
"""Les frais de justice sont-ils remboursés si je gagne ?""";"""Oui, sur décision du tribunal"""
"""Où déposer ma réclamation ?""";"""Au bureau des impôts dont vous dépendez."""
"""Une réclamation peut-elle être déposée en ligne ?""";"""Oui, via le portail fiscal sécurisé."""
"""Est-il nécessaire d’avoir un avocat pour contester ?""";"""Non, mais c’est recommandé pour les affaires complexes."""
"""Qu’est-ce que la taxe foncière ?""";"""Un impôt local sur la propriété immobilière."""
"""Qui paie la taxe d’habitation ?""";"""Le propriétaire ou l’occupant d’un logement."""
"""Comment calculer la taxe foncière ?""";"""Selon la valeur locative cadastrale fixée par la municipalité."""
"""Quand payer la taxe foncière ?""";"""Une fois par an, selon les dates fixées par la municipalité."""
"""Les terrains agricoles sont-ils imposables ?""";"""Oui, sauf exemptions prévues par la loi."""
"""Qu’est-ce que la patente ?""";"""Une taxe annuelle sur l’exercice d’une activité commerciale."""
"""Les associations paient-elles la taxe d’habitation ?""";"""Non, si elles sont reconnues d’utilité publique."""
"""Où payer mes taxes municipales ?""";"""À la recette municipale ou en ligne si disponible."""
"""Peut-on contester un montant de taxe locale ?""";"""Oui, par réclamation à la municipalité."""
"""Les exonérations fiscales locales existent-elles ?""";"""Oui, pour certains projets ou zones."""
"""Qu’est-ce que la retenue à la source ?""";"""Un prélèvement effectué par le payeur sur un revenu versé."""
"""Qui doit pratiquer la retenue à la source ?""";"""Les employeurs et certains débiteurs professionnels"""
"""Quels revenus sont soumis à retenue à la source ?""";"""Salaires, honoraires, loyers, dividendes, etc"""
"""Quand verser la retenue à la source à l’État ?""";"""Avant le 15 du mois suivant le paiement du revenu."""
"""Que se passe-t-il si on oublie de pratiquer la retenue ?""";"""L’entreprise devient redevable du montant non prélevé."""
"""Qu’est-ce qu’un acompte provisionnel ?""";"""Un paiement anticipé d’impôt sur le revenu ou sur les sociétés."""
"""Qui doit verser un acompte provisionnel ?""";"""Les contribuables réalisant un revenu imposable significatif"""
"""Peut-on modifier le montant d’un acompte provisionnel ?""";"""Oui, avec justification et accord de l’administration."""
"""Qu’est-ce que la déclaration de change ?""";"""Une obligation pour les opérations en devises."""
"""Les revenus en ligne sont-ils imposables en Tunisie ?""";"""Oui, s’ils sont perçus par un résident fiscal tunisien."""
"""Comment déclarer un revenu provenant d’un travail indépendant ponctuel ?""";"""Ce revenu doit être ajouté dans la catégorie des bénéfices non commerciaux dans la déclaration annuelle."""
"""Les pensions de retraite étrangères sont-elles imposables en Tunisie ?""";"""Oui, sauf si une convention de non-double imposition prévoit une exonération."""
"""Comment déduire les frais médicaux dans la déclaration d’impôt ?""";"""En les inscrivant dans les charges déductibles, sur présentation des justificatifs."""
"""Un étudiant qui travaille à mi-temps doit-il déclarer ses revenus ?""";"""Oui, si ses revenus annuels dépassent le seuil d’exonération."""
"""Les pourboires sont-ils imposables ?""";"""Oui, s’ils font partie intégrante de la rémunération."""
"""Peut-on déduire les intérêts d’un prêt étudiant ?""";"""Oui, si le prêt est contracté pour des études supérieures et justifié par des documents."""
"""Les revenus en crypto-monnaie sont-ils imposables ?""";"""Oui, en tant que revenus divers, convertis en dinars au taux en vigueur."""
"""Comment déclarer un revenu provenant d’un bien à l’étranger ?""";"""En l’incluant dans le revenu global et en appliquant, le cas échéant, la convention fiscale."""
"""Les allocations familiales sont-elles imposables ?""";"""Non, elles sont exonérées d’impôt."""
"""Peut-on corriger une déclaration déjà envoyée ?""";"""Oui, en déposant une déclaration rectificative avant la clôture de l’année fiscale."""
"""Quelles sociétés sont soumises au taux réduit de 15 % ?""";"""Celles exerçant dans des secteurs prioritaires définis par la loi de finances."""
"""Comment déclarer un déficit fiscal en IS ?""";"""En le reportant sur les exercices suivants, dans la limite de 5 ans."""
"""Les dons faits par une société sont-ils déductibles ?""";"""Oui, s’ils sont accordés à des organismes reconnus d’utilité publique."""
"""Une société en sommeil doit-elle payer l’IS ?""";"""Oui, sauf si elle a été formellement mise en liquidation."""
"""Les provisions pour litiges sont-elles déductibles ?""";"""Oui, si elles sont justifiées et comptabilisées correctement."""
"""Quel est le taux d’IS pour les banques ?""";"""Le taux normal est de 35 %."""
"""Les subventions reçues sont-elles imposables ?""";"""Oui, sauf exonération spécifique prévue par la loi."""
"""Comment comptabiliser un crédit d’impôt non utilisé ?""";"""En le reportant sur les exercices suivants."""
"""Les frais de représentation sont-ils déductibles ?""";"""Oui, dans les limites fixées par la réglementation fiscale."""
"""Les pertes en capital sont-elles déductibles ?""";"""Oui, si elles concernent des actifs utilisés pour l’activité de la société."""
"""Comment récupérer la TVA sur un achat à l’étranger ?""";"""Par imputation si l’achat est lié à l’activité taxable et que la TVA est facturée conformément aux règles."""
"""Une facture sans mention du numéro d’identification fiscale est-elle valide pour la TVA ?""";"""Non, elle n’est pas déductible."""
"""Qu’est-ce que la TVA sur marge ?""";"""Un régime applicable aux biens d’occasion, calculée uniquement sur la marge bénéficiaire."""
"""Comment fonctionne le remboursement de crédit de TVA ?""";"""Sur demande, avec justificatifs, dans les cas prévus par la loi."""
"""La TVA est-elle applicable sur les prestations en ligne vendues à l’étranger ?""";"""Non, si le consommateur est situé hors de Tunisie."""
"""Quelles opérations sont exonérées de TVA ?""";"""Exportations, enseignement, services médicaux, etc."""
"""Un auto-entrepreneur est-il soumis à la TVA ?""";"""Oui, s’il dépasse le seuil de chiffre d’affaires imposable."""
"""Comment déclarer la TVA en cas de double activité ?""";"""En ventilant les opérations taxables et exonérées."""
"""Les acomptes sont-ils soumis à la TVA ?""";"""Oui, au moment de leur encaissement."""
"""La TVA est-elle récupérable sur les véhicules de tourisme ?""";"""Non, sauf pour certaines activités spécifiques comme la location."""
"""Quel taux appliquer sur des honoraires payés à un résident ?""";"""15 % sauf exceptions prévues par la loi."""
"""La retenue à la source est-elle applicable sur les loyers commerciaux ?""";"""Oui, au taux de 15 %."""
"""Comment déclarer une retenue à la source non versée à temps ?""";"""En régularisant le paiement avec les pénalités applicables."""
"""Un contrat de prestation avec un non-résident est-il soumis à retenue ?""";"""Oui, sauf si une convention fiscale prévoit un autre taux."""
"""La retenue à la source s’applique-t-elle sur les dividendes versés à une société tunisienne ?""";"""Non, si la société bénéficiaire est résidente et soumise à l’IS."""
"""Comment éviter la double imposition sur un paiement à l’étranger ?""";"""En appliquant la convention fiscale avec le pays concerné."""
"""Les remboursements de prêts sont-ils soumis à retenue ?""";"""Non, sauf intérêts inclus."""
"""La retenue à la source sur les jeux concours est de combien ?""";"""25 %."""
"""Les prestations intellectuelles sont-elles soumises à retenue ?""";"""Oui, au taux de 15 %."""
"""Comment déclarer plusieurs retenues à la source dans le mois ?""";"""En les regroupant dans une seule déclaration mensuelle."""
"""Quelle est la base de calcul des cotisations CNSS ?""";"""Elle correspond au salaire brut soumis à cotisation dans la limite du plafond légal."""
"""Quelles sont les obligations des employeurs vis-à-vis de la CNSS ?""";"""Déclaration des salariés et paiement mensuel des cotisations."""
"""Comment déclarer un nouvel employé à la CNSS ?""";"""Via la déclaration sociale nominative sur le portail CNSS."""
"""Quel est le délai légal pour déclarer un salarié ?""";"""Avant le début de la période de travail."""
"""Les indemnités de licenciement sont-elles soumises à la CNSS ?""";"""Non, elles sont exonérées de cotisations sociales."""
"""Que faire en cas de contestation d’un avis de cotisation CNSS ?""";"""Déposer une réclamation auprès de la CNSS dans les délais impartis."""
"""La CNSS couvre-t-elle les congés maternité ?""";"""Oui, sous conditions d’affiliation et de cotisations régulières."""
"""Comment récupérer un numéro d’affiliation CNSS ?""";"""En contactant le bureau CNSS ou via le portail en ligne."""
"""Les travailleurs agricoles doivent-ils cotiser à la CNSS ?""";"""Oui, ils relèvent d’un régime spécifique."""
"""Quelles sanctions en cas de non-paiement des cotisations CNSS ?""";"""Amendes, majorations et poursuites judiciaires."""
"""Quelles sont les principales dépenses déductibles de l’IS ?""";"""Charges d’exploitation, amortissements, intérêts d’emprunt, frais de personnel."""
"""Les investissements dans les zones défavorisées bénéficient-ils d’exonérations ?""";"""Oui, selon les incitations fiscales prévues par la loi."""
"""Comment justifier une exonération fiscale ?""";"""Par la présentation des documents officiels délivrés par l’administration."""
"""Les revenus agricoles bénéficient-ils d’exonérations ?""";"""Oui, sous certaines conditions liées à la nature de l’activité."""
"""Qu’est-ce que la franchise en base de TVA ?""";"""C’est l’exonération de TVA pour les petits contribuables en dessous d’un seuil de chiffre d’affaires."""
"""Les dons faits aux hôpitaux publics sont-ils exonérés ?""";"""Oui, ils peuvent ouvrir droit à une réduction d’impôt."""
"""Peut-on cumuler plusieurs exonérations ?""";"""Sous réserve que les conditions de chaque exonération soient respectées."""
"""Les entreprises exportatrices bénéficient-elles d’exonérations de droits de douane ?""";"""Oui, sur les biens d’équipement importés nécessaires à leur activité."""
"""Les intérêts d’emprunt sont-ils toujours déductibles ?""";"""Non, uniquement s’ils sont liés à l’activité professionnelle."""
"""Quels avantages fiscaux pour les start-ups ?""";"""Exonérations temporaires d’impôt et facilités de paiement."""
"""Quel est le taux de la majoration pour retard de paiement ?""";"""Généralement 10% du montant dû, plus intérêts au taux légal."""
"""Existe-t-il des pénalités pour non-timbre fiscal ?""";"""Oui, une amende est applicable."""
"""Peut-on négocier une remise de pénalités ?""";"""Oui, avec une demande motivée auprès de l’administration fiscale."""
"""Les pénalités s’appliquent-elles en cas de force majeure ?""";"""Elles peuvent être annulées si la force majeure est prouvée."""
"""Comment contester une pénalité fiscale ?""";"""Par une réclamation écrite dans les délais légaux"""
"""La majoration s’applique-t-elle aux acomptes provisionnels ?""";"""Oui, en cas de retard ou non-paiement."""
"""Quel est le délai pour payer une pénalité ?""";"""En même temps que l’impôt principal."""
"""Peut-on payer une pénalité en plusieurs fois ?""";"""Oui, sur accord préalable de l’administration."""
"""Les pénalités sont-elles fiscalement déductibles ?""";"""Non, elles ne sont pas déductibles."""
"""Quelles sont les sanctions pénales en cas de fraude fiscale ?""";"""Amendes lourdes et peines de prison."""
"""Peut-on payer les impôts par chèque ?""";"""Oui, auprès des banques agréées."""
"""Comment obtenir un échéancier de paiement ?""";"""En faisant une demande motivée à l’administration fiscale."""
"""Le paiement en retard entraîne-t-il des pénalités ?""";"""Oui, majorations et intérêts sont appliqués."""
"""Puis-je payer mes impôts via une agence bancaire ?""";"""Oui, dans les banques habilitées à collecter les impôts."""
"""Quels moyens de paiement en ligne sont acceptés ?""";"""Carte bancaire, virement bancaire, et plateformes de paiement agréées."""
"""Peut-on annuler un paiement en ligne erroné ?""";"""Non, il faut contacter l’administration fiscale pour un remboursement."""
"""Comment prouver un paiement en cas de litige ?""";"""Avec le reçu ou l’attestation délivrée par le système de paiement."""
"""Peut-on payer un impôt pour une autre personne ?""";"""Oui, en disposant des références fiscales."""
"""Le paiement partiel d’un impôt est-il accepté ?""";"""En général non, sauf accord spécifique."""
"""Comment régulariser un paiement en retard ?""";"""En payant le principal, les pénalités et intérêts dus."""
